File,BLEU,Precisions,Brevity Penalty,Length Ratio,Translation Length,Reference Length
91_Dat_Erdmänneken_en.txt,0.22138858967377995,"[0.6565874730021598, 0.3271391529818496, 0.14526588845654995, 0.07698961937716263]",1.0,1.1018562589243217,2315,2101
30_L_uschen_und_Fl_hchen_en.txt,0.2700410908201501,"[0.6608695652173913, 0.3797909407665505, 0.2164048865619546, 0.0979020979020979]",1.0,1.0105448154657293,575,569
147_Das_junggegl_hte_M_nnlein_en(1).txt,0.2720318884815541,"[0.7200674536256324, 0.36317567567567566, 0.21150592216582065, 0.12203389830508475]",0.9490663568810799,0.9503205128205128,593,624
112_Der_Dreschflegel_vom_Himmel_en(1).txt,0.261544058263803,"[0.7237851662404092, 0.38974358974358975, 0.2236503856041131, 0.12886597938144329]",0.8710051260676938,0.8786516853932584,391,445
52_K_nig_Drosselbart_en(1).txt,0.2552371305561622,"[0.6703967446592065, 0.3435114503816794, 0.17820773930753564, 0.10341314314824249]",1.0,1.0282426778242677,1966,1912
44_Der_Gevatter_Tod_en(1).txt,0.30844792558815753,"[0.7084148727984344, 0.3936031331592689, 0.23318092749836708, 0.1392156862745098]",1.0,1.071278825995807,1533,1431
99_Der_Geist_im_Glas_en(1).txt,0.3085129316854218,"[0.6506071288679984, 0.3871473354231975, 0.23637789102312817, 0.15215686274509804]",1.0,1.1902097902097901,2553,2145
148_Des_Herrn_und_des_Teufels_Geth_en(1).txt,0.22210403429670839,"[0.6357466063348416, 0.31065759637188206, 0.15454545454545454, 0.07972665148063782]",1.0,1.0574162679425838,442,418
46_Fitchers_Vogel_en(1).txt,0.36687984469988744,"[0.7920469361147328, 0.4827136333985649, 0.30156657963446476, 0.1992161985630307]",0.9424032344981174,0.944,1534,1625
28_Der_singende_Knochen_en.txt,0.3391833306980992,"[0.7441037735849056, 0.4332939787485242, 0.25886524822695034, 0.15857988165680473]",1.0,1.013142174432497,848,837
93_Die_Rabe_en.txt,0.4156154733839865,"[0.795203654358584, 0.5125666412795126, 0.3272380952380952, 0.22370426829268292]",1.0,1.0034377387318565,2627,2618
39_Die_Wichtelm_nner_en.txt,0.2894967031774885,"[0.6692810457516339, 0.37671680837148463, 0.21269633507853403, 0.13097576948264572]",1.0,1.1383928571428572,1530,1344
103_Der_s__e_Brei_en(1).txt,0.3701599608053123,"[0.7287581699346405, 0.46229508196721314, 0.28618421052631576, 0.19471947194719472]",1.0,1.0625,306,288
9_Die_zw_lf_Br_der_en(1).txt,0.046648939406580936,"[0.45666666666666667, 0.12672701286326823, 0.021448999046711152, 0.003814973772055317]",1.0,1.326595072646873,2100,1583
140_Das_Hausgesinde_en(1).txt,0.0,"[0.3843283582089552, 0.06741573033707865, 0.0037593984962406013, 0.0]",1.0,1.2293577981651376,268,218
48_Der_alte_Sultan_en(1).txt,0.37590416174280583,"[0.7709844559585493, 0.4616182572614108, 0.3073727933541018, 0.21101871101871103]",0.9643804254085748,0.965,965,1000
127_Der_Eisenofen_en(1).txt,0.20562223696624485,"[0.7241543592186755, 0.3679694947569113, 0.17405817835002385, 0.09208015267175572]",0.8043484363761889,0.8212050078247262,2099,2556
151_Die_drei_Faulen_en.txt,0.313811759574449,"[0.7721518987341772, 0.43771991555242784, 0.2605633802816901, 0.1543340380549683]",0.9190744153363744,0.9221789883268483,1422,1542
3_Marienkind_en.txt,0.0,"[0.1226145038167939, 0.02386634844868735, 0.0014326647564469914, 0.0]",1.0,3.6836555360281196,2096,569
108_Hans_mein_Jgel_en.txt,0.24047411886244827,"[0.7861020629750272, 0.44106463878326996, 0.23858695652173914, 0.1402936378466558]",0.7326589840521297,0.7627329192546584,1842,2415
106_Der_arme_M_llerbursch_und_das__en(1).txt,0.3637736828108914,"[0.7781371280724451, 0.48349514563106794, 0.3011658031088083, 0.19507453013609852]",0.9434473225043236,0.9449877750611247,1546,1636
97_Das_Wasser_des_Lebens_en(1).txt,0.11251650576125578,"[0.7539732994278449, 0.37150127226463103, 0.15467854869509867, 0.06050955414012739]",0.4972487021074961,0.5886976047904192,1573,2672
56_Der_Liebste_Roland_en(1).txt,0.3669581125787777,"[0.7642814191220686, 0.470517448856799, 0.29981938591210117, 0.19759036144578312]",0.9605121617133536,0.9612716763005781,1663,1730
102_Der_Zaunk_nig_und_der_B_r_en(1).txt,0.35814737867026075,"[0.777120315581854, 0.46495557749259625, 0.30335968379446643, 0.20178041543026706]",0.9287046650192516,0.931129476584022,1014,1089
10_Das_Lumpengesindel_en(1).txt,0.024450470043913576,"[0.6054827175208581, 0.15632458233890215, 0.023894862604540025, 0.0035885167464114833]",0.45808922512169664,0.5615796519410977,839,1494
69_Jorinde_und_Joringel_en.txt,0.3299487575915468,"[0.7456479690522244, 0.4443368828654405, 0.26647286821705424, 0.16100872938894278]",0.9555630362682843,0.9565217391304348,1034,1081
5_Der_Wolf_und_die_sieben_jungen_en(1).txt,0.011854428554172854,"[0.7061328790459966, 0.23785166240409208, 0.052901023890784986, 0.010247651579846286]",0.12135575042634981,0.32164383561643833,1174,3650
89_Die_G_nsemagd_en.txt,0.25199029173194193,"[0.7432721059376335, 0.38803418803418804, 0.19495510902094912, 0.10479041916167664]",0.9095263871017888,0.9133827545844713,2341,2563
142_Simeliberg_en(1).txt,0.34007308855326174,"[0.7270114942528736, 0.4199424736337488, 0.2591170825335892, 0.1690682036503362]",1.0,1.045045045045045,1044,999
117_Das_eigensinnige_Kind_en.txt,0.19994664474602575,"[0.689922480620155, 0.3671875, 0.1889763779527559, 0.0873015873015873]",0.786383983263185,0.80625,129,160
100_Des_Teufels_ru_iger_Bruder_en.txt,0.3126807788085893,"[0.7794759825327511, 0.4471959213401311, 0.25510204081632654, 0.15244347191830782]",0.9163689197775697,0.9196787148594378,1374,1494
78_Der_alte_Gro_vater_und_der_Enk_en.txt,0.39415562793972486,"[0.7230215827338129, 0.4620938628158845, 0.3188405797101449, 0.24]",0.9857145304114474,0.9858156028368794,278,282
109_Das_Todtenhemdchen_en(1).txt,0.38467445223660607,"[0.7526501766784452, 0.5070921985815603, 0.3309608540925267, 0.21428571428571427]",0.9483766613220972,0.9496644295302014,283,298
14_Die_drei_Spinnerinnen_en(1).txt,0.0,"[0.26258637709772953, 0.043478260869565216, 0.004945598417408506, 0.0]",1.0,1.944337811900192,1013,521
113_De_beiden_Künigeskinner_en.txt,0.17834365504748104,"[0.7630779615254809, 0.3720459149223498, 0.1702127659574468, 0.07702702702702703]",0.7220337262251177,0.7543279022403259,2963,3928
134_Die_sechs_Diener_en(1).txt,0.2884660761697178,"[0.737360472751149, 0.4009852216748768, 0.2204336399474376, 0.1268485047650345]",0.9566473791919229,0.9575605155611443,3046,3181
19_Von_dem_Fischer_un_syner_Fru_en(1).txt,0.045001440023731264,"[0.32004655222577827, 0.10331781140861467, 0.022416302765647742, 0.00553290623179965]",1.0,1.983266012694749,3437,1733
29_Der_Teufel_mit_den_drei_golden_en.txt,0.27816421702305744,"[0.665554881746513, 0.36882013952077647, 0.2087378640776699, 0.11684370257966616]",1.0,1.1000667111407605,3298,2998
98_Doctor_Allwissend_en.txt,0.21205905261454686,"[0.7221526908635795, 0.3609022556390977, 0.17063989962358847, 0.0829145728643216]",0.8605464068651485,0.8694232861806311,799,919
13_Die_drei_M_nnlein_im_Walde_en.txt,0.0,"[0.08305084745762711, 0.013565069944891903, 0.001272264631043257, 0.0]",1.0,5.256124721603563,2360,449
51_Fundevogel_en(1).txt,0.3256830908875252,"[0.7594202898550725, 0.43520309477756286, 0.27783155856727976, 0.18313953488372092]",0.9044004040777645,0.9086918349429324,1035,1139
110_Der_Jude_im_Dorn_en.txt,0.22684159850677083,"[0.7244174265450861, 0.35326913329954385, 0.16937119675456389, 0.08726534753932014]",0.9147000625996426,0.9181395348837209,1974,2150
124_Die_drei_Br_der_en.txt,0.24787492524868912,"[0.6943699731903485, 0.33691275167785234, 0.1827956989247312, 0.1009421265141319]",0.9670432444194723,0.9675745784695201,746,771
