File,BLEU,Precisions,Brevity Penalty,Length Ratio,Translation Length,Reference Length
157_Der_Sperling_und_seine_vier_Ki_en(1).txt,0.18321427265106738,"[0.5553914327917282, 0.25055432372505543, 0.1257396449704142, 0.06439674315321983]",1.0,1.204626334519573,1354,1124
2_Katze_und_Maus_in_Gesellschaft_en(1).txt,0.005946556849678697,"[0.6774483378256964, 0.19334532374100719, 0.0288028802880288, 0.002702702702702703]",0.10523363272704132,0.30754352030947774,1113,3619
55_Rumpelstilzchen_en(1).txt,0.1235478064736475,"[0.401743264659271, 0.1823949246629659, 0.07698412698412699, 0.04130262112787927]",1.0,1.912121212121212,1262,660
105_Märchen_von_der_Unke_en.txt,0.080051291145932,"[0.3656804733727811, 0.1362559241706161, 0.046263345195729534, 0.017814726840855107]",1.0,2.021531100478469,845,418
42_Der_Herr_Gevatter_en(1).txt,0.11086715874848732,"[0.25014180374361883, 0.14074914869466515, 0.07950028392958547, 0.05397727272727273]",1.0,3.0554592720970537,1763,577
86_Der_Fuchs_und_die_G_nse_en.txt,0.14227107831307426,"[0.6071428571428571, 0.23904382470119523, 0.096, 0.03614457831325301]",0.9497207342153238,0.9509433962264151,252,265
"23_Von_dem_M_uschen,_V_gelchen_un_en(1).txt",0.23596258932529332,"[0.6763085399449036, 0.35724137931034483, 0.17403314917127072, 0.08990318118948824]",0.9516225757348378,0.952755905511811,726,762
76_Die_Nelke_en.txt,0.04759549645091241,"[0.309, 0.11155577788894447, 0.02702702702702703, 0.005508262393590386]",1.0,2.366863905325444,2000,845
94_Die_kluge_Bauerntochter_en.txt,0.3521911313495968,"[0.7738330046022354, 0.4605263157894737, 0.2764976958525346, 0.18379446640316205]",0.960056966528198,0.9608338597599495,1521,1583
80_Von_dem_Tode_des_H_hnchens_en(1).txt,0.24984923379793256,"[0.6715425531914894, 0.34753661784287615, 0.184, 0.10146862483311081]",0.972460781397157,0.9728331177231565,752,773
26_Rothk_ppchen_en(1).txt,0.29999614859338625,"[0.7050599201065246, 0.3870752831445703, 0.22133333333333333, 0.13408939292861907]",1.0,1.0252559726962458,1502,1465
118_Die_drei_Feldscherer_en(1).txt,0.3013360029162805,"[0.7315208156329651, 0.41581632653061223, 0.2323404255319149, 0.13969335604770017]",0.955969054123349,0.9569105691056911,1177,1230
138_Knoist_un_sine_dre_S_hne_en(1).txt,0.2632737791981222,"[0.5760869565217391, 0.3442622950819672, 0.2087912087912088, 0.11602209944751381]",1.0,1.1017964071856288,184,167
120_Die_drei_Handwerksburschen_en.txt,0.0,"[0.046202531645569624, 0.00042202996412745304, 0.0, 0.0]",1.0,3.317004898530441,4740,1429
146_Die_R_be_en(1).txt,0.27327073954214004,"[0.7032106499608457, 0.3573667711598746, 0.19294117647058823, 0.12244897959183673]",0.9844602996338268,0.9845797995373939,1277,1297
41_Herr_Korbes_en(1).txt,0.21400951688305034,"[0.6466512702078522, 0.3611111111111111, 0.15777262180974477, 0.06976744186046512]",0.9504608430256628,0.9516483516483516,433,455
135_Die_wei_e_und_die_schwarze_Bra_en(1).txt,0.3587159117990464,"[0.7901459854014599, 0.4808277541083384, 0.2911084043848965, 0.20292504570383912]",0.9267846367153392,0.9293386093838327,1644,1769
53_Sneewittchen_en(1).txt,0.18916566388757117,"[0.741305197342712, 0.37099296325254105, 0.16699256941728588, 0.0892018779342723]",0.7477111267728209,0.7747502270663034,2559,3303
31_Das_M_dchen_ohne_H_nde_en(1).txt,0.12946248559925747,"[0.4607956740054075, 0.2009273570324575, 0.07692307692307693, 0.03944315545243619]",1.0,1.5700424499696786,2589,1649
79_Die_Wassernixe_en(1).txt,0.2632187530375481,"[0.6617647058823529, 0.34513274336283184, 0.1863905325443787, 0.11275964391691394]",1.0,1.0429447852760736,340,326
159_Das_Dietmarsische_L_genm_rchen_en.txt,0.39797155677678303,"[0.7104072398190046, 0.4590909090909091, 0.3287671232876712, 0.23394495412844038]",1.0,1.04739336492891,221,211
141_Das_L_mmchen_und_Fischchen_en(1).txt,0.29469655803716677,"[0.7485029940119761, 0.41529235382308843, 0.23723723723723725, 0.14736842105263157]",0.9127279967624576,0.9163237311385459,668,729
126_Ferenand_getrü_und_Ferenand_un_en.txt,0.19183084232304626,"[0.6246903385631709, 0.29285419248244526, 0.12975206611570247, 0.05704836709384043]",1.0,1.0783615316117543,2422,2246
38_Die_Hochzeit_der_Frau_F_chsin_en.txt,0.22675352506638777,"[0.6202672605790646, 0.2987736900780379, 0.15959821428571427, 0.0893854748603352]",1.0,1.0286368843069873,898,873
49_Die_sechs_Schw_ne_en(1).txt,0.21777592446147473,"[0.5378751786565031, 0.29122974261201146, 0.1535526943252265, 0.09351145038167939]",1.0,1.493950177935943,2099,1405
154_Der_gestohlene_Heller_en(1).txt,0.3088732714412889,"[0.6970509383378016, 0.4166666666666667, 0.2398921832884097, 0.15675675675675677]",0.9554465964906584,0.9564102564102565,373,390
123_Die_Alte_im_Wald_en(1).txt,0.3396959251415203,"[0.74373795761079, 0.43201542912246865, 0.25868725868725867, 0.16521739130434782]",0.9923224946714434,0.9923518164435946,1038,1046
50_Dornr_schen_en(1).txt,0.19187175606875662,"[0.5728155339805825, 0.2795216741405082, 0.1256544502617801, 0.06736526946107785]",1.0,1.2924710424710424,1339,1036
25_Die_sieben_Raben_en(1).txt,0.1375989175417565,"[0.47104247104247104, 0.20869565217391303, 0.09187620889748549, 0.03969022265246854]",1.0,1.5625942684766214,1036,663
"36_Tischchen_deck_dich,_Goldesel,_en(1).txt",0.15199687600956538,"[0.5721636853712325, 0.26176470588235295, 0.09561166952684481, 0.03727317312408043]",1.0,1.2833333333333334,4081,3180
96_De_drei_V_gelkens_en(1).txt,0.26185296189636387,"[0.6506342494714588, 0.3500793231094659, 0.18835978835978837, 0.10958178930651138]",1.0,1.0829994275901544,1892,1747
65_Allerleirauh_en(1).txt,0.25582636237137185,"[0.7052255471192497, 0.36639857015192134, 0.1823871256146625, 0.09302325581395349]",0.9942106597261147,0.9942273534635879,2239,2252
92_Der_König_vom_goldenen_Berg_en.txt,0.24312730106645042,"[0.7563169164882227, 0.3916023993144816, 0.19502786112301757, 0.10591766723842196]",0.8693210045799683,0.877160030052592,2335,2662
45_Daumerlings_Wanderschaft_en(1).txt,0.14650626382994544,"[0.44292929292929295, 0.22182920667003536, 0.09656218402426693, 0.048558421851289835]",1.0,1.6431535269709543,1980,1205
85_Die_Goldkinder_en.txt,0.14943095451134963,"[0.4826800364630811, 0.22936616507067945, 0.09580291970802919, 0.04701049748973072]",1.0,1.580691642651297,2194,1388
115_Die_klare_Sonne_bringts_an_den_en(1).txt,0.33964138048349385,"[0.7428087986463621, 0.42203389830508475, 0.2835314091680815, 0.20578231292517007]",0.9235537978508613,0.9263322884012539,591,638
111_Der_gelernte_J_ger_en.txt,0.2759928888217593,"[0.7116182572614108, 0.386052303860523, 0.1972591362126246, 0.10760282509347736]",0.9987559611806548,0.998756734355574,2410,2413
20_Das_tapfere_Schneiderlein_en.txt,0.019163574493101583,"[0.13121460037759597, 0.04627006610009443, 0.010075566750629723, 0.002204724409448819]",1.0,5.1674796747967475,3178,615
131_Die_sch_ne_Katrinelje_und_Pif__en(1).txt,0.0,"[0.06578153289076645, 0.0, 0.0, 0.0]",1.0,3.1382575757575757,1657,528
1_Der_Froschk_nig_oder_der_eiser_en(1).txt,0.03846768648324359,"[0.577245508982036, 0.17555422408627921, 0.026378896882494004, 0.003599280143971206]",0.6906929705385294,0.7298951048951049,1670,2288
139_Dat_M_ken_von_Brakel_en.txt,0.10143983552701434,"[0.47282608695652173, 0.14754098360655737, 0.054945054945054944, 0.027624309392265192]",1.0,1.1428571428571428,184,161
87_Der_Arme_und_der_Reiche_en(1).txt,0.2708341794875091,"[0.6942465753424657, 0.3755482456140351, 0.19583104772353263, 0.10537870472008781]",1.0,1.028169014084507,1825,1775
17_Die_wei_e_Schlange_en.txt,0.11901016601978849,"[0.4934172867773326, 0.218213058419244, 0.07736389684813753, 0.02408256880733945]",1.0,1.533801580333626,1747,1139
22_Das_Räthsel_en.txt,0.009437143641073729,"[0.09001636661211129, 0.02620802620802621, 0.004098360655737705, 0.0008203445447087777]",1.0,7.734177215189874,1222,158
32_Der_gescheidte_Hans_en(1).txt,0.0668921891094875,"[0.6302124311565697, 0.31968503937007875, 0.17494089834515367, 0.08201892744479496]",0.2884839991002129,0.44580848824973696,1271,2851
158_Das_M_rchen_vom_Schlauraffenla_en.txt,0.39207615703376847,"[0.7535816618911175, 0.48563218390804597, 0.33429394812680113, 0.24855491329479767]",0.9389084993687221,0.9407008086253369,349,371
114_Vom_klugen_Schneiderlein_en.txt,0.29813877243047593,"[0.7375565610859729, 0.4143396226415094, 0.23564954682779457, 0.14436885865457294]",0.9336744547953816,0.9357798165137615,1326,1417
24_Frau_Holle_en(1).txt,0.15278121868199518,"[0.41907051282051283, 0.2165196471531676, 0.10834670947030497, 0.05542168674698795]",1.0,1.8909090909090909,1248,660
125_Der_Teufel_und_seine_Gro_mutte_en(1).txt,0.33229860055367416,"[0.7230320699708455, 0.42815463165572576, 0.24963503649635035, 0.15777940102264426]",1.0,1.0323551542513167,1372,1329
150_Die_alte_Bettelfrau_en(1).txt,0.20965311185135949,"[0.5829383886255924, 0.2904761904761905, 0.14832535885167464, 0.07692307692307693]",1.0,1.1344086021505377,211,186
